# Langmuir Probe Measurement Export
# Schema: lp-measurement-csv v1
# Generator: LangmuirMeasure 3.0
# Date: 2026-04-19 20:01:45
# Samples: 45
# V_d12_setpoint_V: 25
# Compliance_A: 0.01
# Probe_Area_m2: 3.142e-06
# Species: Ar 0.1 sccm
# V_d13_sign: 1
# Tick_ms: 250
# Ion_Note: plasma-phase positive-ion assumption for the Bohm density formula; feed flows above remain molecular inlet flows
# Ion_Composition_Preset: custom
# Ion_Composition_Mode: molecular
# Ion_x_atomic: 0.000
# Ion_x_atomic_unc: 0.000
# Ion_mi_rel_unc: 0.0000
# species: Ar 0.1 sccm
# area_m2: 3.141592653589793e-06
# mi_kg: 6.633365399999999e-26
# mi_rel_unc: 0.0
# ne_ci_method: unavailable
# ne_ci_note: fit_only
#
# t_s,u_supply_V,u_measure_V,i_measure_A,v_d12_V,v_d13_V,te_eV,ne_m3
0.0008694,25,3,-3.000000e-04,25,3,4.32809,3.022164e+17
0.263814,25,3,-3.000000e-04,25,3,4.32809,3.022164e+17
0.527929,25,3,-3.000000e-04,25,3,4.32809,3.022164e+17
0.791511,25,3,-3.000000e-04,25,3,4.32809,3.022164e+17
1.05784,25,3,-3.000000e-04,25,3,4.32809,3.022164e+17
1.32272,25,3,-3.000000e-04,25,3,4.32809,3.022164e+17
1.57703,25,3,-3.000000e-04,25,3,4.32809,3.022164e+17
1.82208,25,3,-3.000000e-04,25,3,4.32809,3.022164e+17
2.08593,25,3,-3.000000e-04,25,3,4.32809,3.022164e+17
2.33415,25,3,-3.000000e-04,25,3,4.32809,3.022164e+17
2.60193,25,3,-3.000000e-04,25,3,4.32809,3.022164e+17
2.88024,25,3,-3.000000e-04,25,3,4.32809,3.022164e+17
3.1454,25,3,-3.000000e-04,25,3,4.32809,3.022164e+17
3.40966,25,3,-3.000000e-04,25,3,4.32809,3.022164e+17
3.67367,25,3,-3.000000e-04,25,3,4.32809,3.022164e+17
3.93632,25,3,-3.000000e-04,25,3,4.32809,3.022164e+17
4.2016,25,3,-3.000000e-04,25,3,4.32809,3.022164e+17
4.44887,25,3,-3.000000e-04,25,3,4.32809,3.022164e+17
4.71354,25,3,-3.000000e-04,25,3,4.32809,3.022164e+17
4.9777,25,3,-3.000000e-04,25,3,4.32809,3.022164e+17
5.24414,25,3,-3.000000e-04,25,3,4.32809,3.022164e+17
5.50913,25,3,-3.000000e-04,25,3,4.32809,3.022164e+17
5.77322,25,3,-3.000000e-04,25,3,4.32809,3.022164e+17
6.03773,25,3,-3.000000e-04,25,3,4.32809,3.022164e+17
6.3021,25,3,-3.000000e-04,25,3,4.32809,3.022164e+17
6.5635,25,3,-3.000000e-04,25,3,4.32809,3.022164e+17
6.8281,25,3,-3.000000e-04,25,3,4.32809,3.022164e+17
7.09267,25,3,-3.000000e-04,25,3,4.32809,3.022164e+17
7.35898,25,3,-3.000000e-04,25,3,4.32809,3.022164e+17
7.60377,25,3,-3.000000e-04,25,3,4.32809,3.022164e+17
7.87679,25,3,-3.000000e-04,25,3,4.32809,3.022164e+17
8.13917,25,3,-3.000000e-04,25,3,4.32809,3.022164e+17
8.40167,25,3,-3.000000e-04,25,3,4.32809,3.022164e+17
8.66744,25,3,-3.000000e-04,25,3,4.32809,3.022164e+17
8.93066,25,3,-3.000000e-04,25,3,4.32809,3.022164e+17
9.19548,25,3,-3.000000e-04,25,3,4.32809,3.022164e+17
9.45916,25,3,-3.000000e-04,25,3,4.32809,3.022164e+17
9.72468,25,3,-3.000000e-04,25,3,4.32809,3.022164e+17
9.97536,25,3,-3.000000e-04,25,3,4.32809,3.022164e+17
10.2545,25,3,-3.000000e-04,25,3,4.32809,3.022164e+17
10.504,25,3,-3.000000e-04,25,3,4.32809,3.022164e+17
10.7695,25,3,-3.000000e-04,25,3,4.32809,3.022164e+17
11.0119,25,3,-3.000000e-04,25,3,4.32809,3.022164e+17
11.2595,25,3,-3.000000e-04,25,3,4.32809,3.022164e+17
11.517,25,3,-3.000000e-04,25,3,4.32809,3.022164e+17
